parameter_name,lens
pvalue,0.4010085
mouse_life_stage,Early adult
analysis_id,h0946ah8z579z41
parameter_id,M-G-P_014_001_009
gene_symbol,Dnajc5b
gene_accession_id,MGI:1913576
mouse_strain,C57BL
