analysis_id,1742112uelb7896
gene_accession_id,MGI:1338032
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.4456479
parameter_id,UCD_OWT_003_001
parameter_name,Spleen weight
gene_symbol,Sema6c
