analysis_id,9928h0lb5166213
parameter_id,IMPC_CSD_030_001
gene_accession_id,MGI:2442483
mouse_life_stage,Early adult
gene_symbol,Usp37
mouse_strain,C57BL
parameter_name,Tremor
pvalue,0.8761655
