parameter_name,Vibrissae - presence
gene_symbol,Tnni1
parameter_id,JAXLA_CSD_023_001
pvalue,0.5478525
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:105073
analysis_id,s71444ay6xp52h3
