analysis_id,ru0xb3j0s15o031
gene_symbol,Arpc2
mouse_life_stage,Early adult
mouse_strain,129SV
pvalue,0.8339304
parameter_id,MGP_MLN_072_001
gene_accession_id,MGI:1923959
parameter_name,KLRG1+ Treg cells - % of CD45+
