parameter_name,LDL-cholesterol
analysis_id,8c4051oyz7il9gl
mouse_strain,C57BL
gene_symbol,Hrnr
mouse_life_stage,Early adult
gene_accession_id,MGI:3046938
parameter_id,IMPC_CBC_025_001
pvalue,0.4674399
