analysis_id,6317g24sl70n9eu
mouse_strain,C57BL
gene_accession_id,MGI:3046938
pvalue,0.6611522
parameter_name,Mean right eye lens density
mouse_life_stage,Early adult
gene_symbol,Hrnr
parameter_id,IMPC_EYE_059_001
