analysis_id,qv9ecgq50avasct
gene_accession_id,MGI:97054
mouse_life_stage,Early adult
gene_symbol,Mov10
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_strain,C57BL
pvalue,0.1910198
parameter_id,MGP_IMM_081_001
