parameter_id,TCPLA_XRY_033_001
mouse_life_stage,Early adult
gene_symbol,Bach2
gene_accession_id,MGI:894679
pvalue,0.1880969
analysis_id,212rv3lkv5yy5he
mouse_strain,C57BL
parameter_name,Tibia length
