parameter_name,Retinal Blood Vessels Pattern
pvalue,0.8853651
gene_symbol,Ift74
mouse_life_stage,Early adult
gene_accession_id,MGI:1914944
parameter_id,IMPC_EYE_026_001
mouse_strain,C57BL
analysis_id,52i158skft119af
