analysis_id,9bn43n33t1zc363
mouse_strain,C57BL
gene_accession_id,MGI:891989
pvalue,0.0998226
parameter_id,ESLIM_007_001_009
mouse_life_stage,Early adult
gene_symbol,Npbwr1
parameter_name,Periphery average speed
