gene_symbol,F2
mouse_life_stage,Early adult
gene_accession_id,MGI:88380
analysis_id,427301bsucd7dwq
pvalue,0.4159494
parameter_id,HRWLLA_GRS_010_001
mouse_strain,C57BL
parameter_name,Forelimb grip strength normalised against body weight
