parameter_name,Heart weight
gene_accession_id,MGI:1918025
mouse_strain,129SV
parameter_id,HMGULA_HWT_008_001
gene_symbol,Zmynd8
mouse_life_stage,Early adult
pvalue,0.1833192
analysis_id,278b0m90163xa83
