parameter_id,UCD_OWT_008_001
pvalue,0.3164981
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,g8nm56dn3r922x2
gene_symbol,Cisd2
gene_accession_id,MGI:1914256
parameter_name,Liver weight
