parameter_name,Corneal vascularization
parameter_id,IMPC_EYE_009_001
gene_accession_id,MGI:1914561
analysis_id,43id6136d97h8ja
gene_symbol,Nanp
pvalue,0.08770969
mouse_strain,C57BL
mouse_life_stage,Early adult
