parameter_name,Upper teeth appearance
pvalue,0.3971951
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_069_001
mouse_strain,C57BL
gene_symbol,Kdm4c
analysis_id,1u4pi44okaj82wb
