parameter_name,Neutrophil percentage
analysis_id,b029s735erkdn32
mouse_strain,C57BL
gene_symbol,Slc39a10
pvalue,0.9471624
gene_accession_id,MGI:1914515
parameter_id,MGP_PBI_019_001
mouse_life_stage,Early adult
