analysis_id,384y4h7m29250wk
mouse_life_stage,Early adult
gene_accession_id,MGI:2446186
parameter_id,IMPC_XRY_002_001
mouse_strain,C57BL
parameter_name,Zygomatic bone
gene_symbol,Lpgat1
pvalue,0.3214704
