analysis_id,hge15g76727vd8y
parameter_name,RR
pvalue,0.4975345
gene_symbol,Kdm4c
parameter_id,IMPC_ECG_004_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1924054
mouse_strain,C57BL
