analysis_id,7k5pow7r7k6qc73
gene_accession_id,MGI:3588214
mouse_strain,C57BL
pvalue,0.7551665
parameter_name,Lean mass
gene_symbol,Rufy4
parameter_id,JAXLA_DXA_003_001
mouse_life_stage,Early adult
