gene_symbol,Dnaaf9
mouse_strain,C57BL
analysis_id,2aec4k71l170p6l
gene_accession_id,MGI:1923029
pvalue,0.9997193
parameter_name,Coat - hair distribution - head
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_012_001
