parameter_name,Mean corpuscular hemoglobin
pvalue,0.9254334
mouse_life_stage,E15.5
mouse_strain,C57BL
gene_accession_id,MGI:88174
gene_symbol,Bmi1
parameter_id,IMPC_HEM_006_001
analysis_id,21z855pujuo9f94
