analysis_id,i30wur255wbv8o8
gene_symbol,Secisbp2l
mouse_strain,C57BL
parameter_id,HRWLLA_CSD_008_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1917604
parameter_name,Coat - color pattern - back
pvalue,0.9377848
