gene_symbol,Cisd2
pvalue,0.9097065
analysis_id,2a00v0nrsp3vp02
gene_accession_id,MGI:1914256
parameter_name,Others
parameter_id,IMPC_IMM_006_001
mouse_strain,C57BL
mouse_life_stage,Early adult
