parameter_name,Hemorrhage
parameter_id,IMPC_GEO_009_002
gene_symbol,Atrn
analysis_id,5cgs718vxi2xc59
gene_accession_id,MGI:1341628
pvalue,0.3907741
mouse_strain,C57BL
mouse_life_stage,Early adult
