gene_symbol,Mecom
parameter_id,HRWLLA_OFD_011_001
analysis_id,5vlp6c0108e13x7
mouse_life_stage,Early adult
pvalue,0.5548103
parameter_name,Periphery resting time
mouse_strain,C3H
gene_accession_id,MGI:95457
