parameter_name,Aspartate aminotransferase
mouse_strain,C57BL
gene_symbol,Col6a3
gene_accession_id,MGI:88461
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_012_001
analysis_id,ap878j41q24h75t
pvalue,0.5734628
