analysis_id,l19t355kn8w92a9
pvalue,0.06769313
parameter_id,MGP_IMM_020_001
gene_symbol,Frmpd1
mouse_life_stage,Middle aged adult
parameter_name,Effector gd T cells - % of gd T cells
gene_accession_id,MGI:2446274
mouse_strain,C57BL
