analysis_id,5465ur3kh64xse1
mouse_life_stage,Early adult
gene_accession_id,MGI:88479
parameter_name,Dark side time spent
mouse_strain,C57BL
gene_symbol,Cpa3
pvalue,0.6583284
parameter_id,JAX_LDT_004_001
