analysis_id,r011tep9334i7qd
gene_accession_id,MGI:99501
mouse_life_stage,Early adult
gene_symbol,Fgb
mouse_strain,C57BL
parameter_id,IMPC_XRY_001_001
pvalue,0.1362406
parameter_name,Skull shape
