analysis_id,69ll90q5o2048d8
pvalue,0.9614472
gene_accession_id,MGI:1346088
mouse_strain,C57BL
parameter_name,Mean right eye lens density
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_059_001
gene_symbol,Cd52
