analysis_id,89wj6th7a22q8zz
parameter_name,PQ
parameter_id,IMPC_ECG_005_001
mouse_life_stage,Early adult
gene_symbol,Mms22l
gene_accession_id,MGI:2684980
mouse_strain,129SV
pvalue,0.7588106
