gene_symbol,Nucks1
parameter_id,JAX_SLW_013_001
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_name,Breath rate during sleep mean
pvalue,0.9783796
gene_accession_id,MGI:1934811
analysis_id,ds177b01n35031l
