analysis_id,czdv538p8y933x2
pvalue,0.6423543
gene_accession_id,MGI:2135738
parameter_id,IMPC_OFD_022_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Abo
parameter_name,Percentage center time
