parameter_name,Whole arena average speed
mouse_strain,C57BL
analysis_id,qm6p4n48655z1se
pvalue,0.9776316
parameter_id,ESLIM_007_001_005
gene_accession_id,MGI:1929866
mouse_life_stage,Early adult
gene_symbol,Rgs20
