parameter_name,eye size
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Frmpd1
parameter_id,ESLIM_001_001_117
analysis_id,pdjr1eu5s14453e
pvalue,0.8682766
gene_accession_id,MGI:2446274
