parameter_name,Periphery average speed
mouse_strain,C57BL
gene_symbol,Frmpd1
parameter_id,HRWLLA_OFD_013_001
pvalue,0.1021434
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446274
analysis_id,60v60aj77291h5f
