parameter_name,Prepulse inhibition - PP4
analysis_id,3vd3r77xkfw4sqq
mouse_strain,C57BL
gene_symbol,Hpca
parameter_id,ESLIM_011_001_704
mouse_life_stage,Middle aged adult
pvalue,0.3173076
gene_accession_id,MGI:1336200
