parameter_name,Periphery - Permanence Time
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.9585387
analysis_id,24d297j7gh5d4s3
gene_accession_id,MGI:95835
gene_symbol,Hspa5
parameter_id,M-G-P_007_001_008
