parameter_name,Right total retinal thickness
analysis_id,244mq4hwyv0w93g
mouse_life_stage,Early adult
pvalue,0.6216588
mouse_strain,C57BL
parameter_id,IMPC_EYE_062_001
gene_symbol,Cisd2
gene_accession_id,MGI:1914256
