analysis_id,8o416u6v6s66bi1
gene_accession_id,MGI:2444113
mouse_strain,C57BL
parameter_id,MGP_IMM_017_001
pvalue,0.8183412
mouse_life_stage,Early adult
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
gene_symbol,Nemp2
