parameter_name,Total food intake
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
analysis_id,busdus21t53xy88
mouse_strain,C57BL
pvalue,0.2007002
mouse_life_stage,Early adult
parameter_id,IMPC_CAL_008_001
