analysis_id,214loou42ng66b3
gene_accession_id,MGI:87968
pvalue,0.7690672
gene_symbol,Ahcy
mouse_life_stage,E12.5
parameter_id,IMPC_GEL_027_001
mouse_strain,C57BL
parameter_name,Neural tube closure
