analysis_id,0i2262r0n720q4e
parameter_name,Retina (combined)
parameter_id,IMPC_EYE_092_001
mouse_strain,C57BL
pvalue,0.3265321
mouse_life_stage,Late adult
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
