Parameter_name,Eosinophil cell count
mouse_strain,C57BL
Pvalue,0.5518577
Mouse_life_stage,E9.5
analysis_id,3f4164f3ukz90tn
gene_symbol,Ints7
Parameter_id,IMPC_HEM_036_001
Gene_accession_id,MGI:1924315
