analysis_id,w3966f99ta85i05
gene_symbol,Kdm4c
parameter_id,IMPC_GRS_009_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7093532
parameter_name,Forelimb and hindlimb grip strength measurement mean
gene_accession_id,MGI:1924054
