gene_symbol,Rhbg
analysis_id,64vw9vp5l20cy30
parameter_id,IMPC_CBC_006_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Total protein
pvalue,0.5688476
gene_accession_id,MGI:1927379
