analysis_id,71wh80q82c4b8g2
gene_symbol,Lurap1
parameter_id,IMPC_GEL_028_001
gene_accession_id,MGI:1915325
parameter_name,Forebrain
mouse_life_stage,Early adult
pvalue,0.2471155
mouse_strain,C57BL
