parameter_name,Platelet count
analysis_id,60336n966bc0ezp
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_HEM_008_001
pvalue,0.6752302
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
