gene_symbol,Gpbp1l1
pvalue,0.9624905
mouse_life_stage,Early adult
parameter_id,MGP_IMM_022_001
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of gd T cells
analysis_id,o7kar68430yk8f9
gene_accession_id,MGI:1924360
