parameter_name,Lens
parameter_id,IMPC_EYE_016_001
pvalue,0.4070254
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2685266
analysis_id,7v88ih731alk966
gene_symbol,Pglyrp3
