gene_symbol,Extl1
parameter_name,Embryo turning
mouse_strain,C57BL
analysis_id,9913383tk8p89x9
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_011_001
gene_accession_id,MGI:1888742
pvalue,0.4860623
