analysis_id,q20x719zx3xdk9z
gene_symbol,Ddx27
parameter_id,IMPC_OFD_021_001
parameter_name,Number of rears - total
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
mouse_strain,129SV
pvalue,0.2117707
