analysis_id,5js96zx50a99l72
gene_symbol,Mov10
pvalue,0.7391994
mouse_strain,C57BL
parameter_id,TCPLA_CSD_030_001
gene_accession_id,MGI:97054
parameter_name,Tremor
mouse_life_stage,Early adult
