gene_symbol,Bcs1l
mouse_strain,C57BL
analysis_id,2t02w21kr61l0x0
mouse_life_stage,E9.5
gene_accession_id,MGI:1914071
pvalue,0.1067461
parameter_name,% Pre-pulse inhibition - PPI1
parameter_id,IMPC_ACS_033_001
