gene_symbol,Lamb3
parameter_id,IMPC_HEM_030_001
pvalue,0.1395162
analysis_id,5667ai9zqd15qd7
gene_accession_id,MGI:99915
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Neutrophil cell count
