analysis_id,du6gp988r752v69
pvalue,0.8198952
mouse_strain,C57BL
gene_symbol,Car13
parameter_id,IMPC_CAL_008_001
gene_accession_id,MGI:1931322
mouse_life_stage,Early adult
parameter_name,Total food intake
