gene_symbol,Rnf114
gene_accession_id,MGI:1933159
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6269542
parameter_id,IMPC_EYE_008_001
parameter_name,Corneal opacity
analysis_id,90m51p3g58u5w11
