analysis_id,jxkcm88zq985ec3
mouse_strain,C57BL
gene_accession_id,MGI:88174
parameter_id,MGP_MLN_031_001
mouse_life_stage,E12.5
gene_symbol,Bmi1
parameter_name,Total NK cells - % of CD45+
pvalue,0.2269878
