gene_symbol,Arnt
mouse_life_stage,Early adult
pvalue,0.4059943
analysis_id,841tq3cqpg573z9
mouse_strain,C57BL
gene_accession_id,MGI:88071
parameter_id,JAXLA_CSD_022_001
parameter_name,Hindlimbs - size
