analysis_id,2bf3q5y921735w0
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.3732517
parameter_name,Shape of vertebrae
parameter_id,IMPC_XRY_018_001
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
