parameter_id,IMPC_EYE_059_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1309468
analysis_id,97hu1598v03ar1o
mouse_strain,C57BL
pvalue,0.3097674
gene_symbol,Casq1
parameter_name,Mean right eye lens density
