parameter_id,TCPLA_CSD_030_001
pvalue,0.3095053
parameter_name,Tremor
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
analysis_id,kj940y3260t6310
mouse_strain,C57BL
gene_symbol,Kdm4c
