gene_symbol,Ppm1j
mouse_strain,C57BL
analysis_id,l0f0t40731b8nr0
pvalue,0.9747202
gene_accession_id,MGI:1919137
mouse_life_stage,Early adult
parameter_name,Total T cells - % of CD45+
parameter_id,MGP_IMM_001_001
